iter	Passed	Remaining
590	2700	1869
591	2706	1864
592	2710	1860
593	2716	1856
594	2720	1851
595	2724	1847
596	2729	1842
597	2735	1838
598	2740	1834
599	2745	1830
600	2750	1826
601	2756	1822
602	2761	1818
603	2766	1813
604	2771	1809
605	2777	1805
606	2782	1801
607	2786	1796
608	2791	1792
609	2795	1787
610	2800	1782
611	2805	1778
612	2809	1773
613	2814	1769
614	2818	1764
615	2823	1759
616	2826	1754
617	2830	1749
618	2833	1744
619	2837	1738
620	2840	1733
621	2844	1728
622	2847	1723
623	2851	1718
624	2855	1713
625	2858	1707
626	2862	1702
627	2865	1697
628	2869	1692
629	2873	1687
630	2877	1682
631	2881	1678
632	2886	1673
633	2891	1669
634	2896	1665
635	2901	1660
636	2906	1656
637	2911	1652
638	2916	1647
639	2921	1643
640	2926	1639
641	2931	1634
642	2936	1630
643	2941	1626
644	2946	1621
645	2952	1617
646	2956	1613
647	2961	1608
648	2966	1604
649	2971	1600
650	2976	1595
651	2981	1591
652	2986	1587
653	2990	1582
654	2995	1577
655	3000	1573
656	3005	1569
657	3011	1565
658	3017	1561
659	3022	1556
660	3026	1552
661	3031	1547
662	3036	1543
663	3040	1538
664	3045	1534
665	3049	1529
666	3054	1524
667	3058	1520
668	3063	1515
669	3067	1511
670	3072	1506
671	3076	1501
672	3081	1497
673	3086	1492
674	3090	1488
675	3095	1483
676	3099	1479
677	3104	1474
678	3109	1469
679	3113	1465
680	3117	1460
681	3122	1456
682	3127	1451
683	3131	1446
684	3136	1442
685	3140	1437
686	3145	1432
687	3150	1428
688	3156	1424
689	3161	1420
690	3166	1415
691	3171	1411
692	3176	1407
693	3181	1402
694	3186	1398
695	3191	1394
696	3196	1389
697	3201	1385
698	3206	1380
699	3212	1376
700	3217	1372
701	3222	1367
702	3227	1363
703	3232	1358
704	3236	1354
705	3241	1349
706	3246	1345
707	3251	1341
708	3256	1336
709	3261	1332
710	3266	1327
711	3271	1323
712	3277	1319
713	3282	1314
714	3288	1310
715	3292	1305
716	3297	1301
717	3302	1297
718	3306	1292
719	3311	1287
720	3315	1283
721	3320	1278
722	3326	1274
723	3331	1269
724	3336	1265
725	3340	1260
726	3345	1256
727	3349	1251
728	3354	1246
729	3359	1242
730	3363	1237
731	3368	1233
732	3373	1228
733	3378	1224
734	3383	1219
735	3389	1215
736	3395	1211
737	3400	1207
738	3406	1203
739	3411	1198
740	3416	1194
741	3421	1189
742	3427	1185
743	3432	1181
744	3437	1176
745	3442	1172
746	3447	1167
747	3452	1163
748	3457	1158
749	3462	1154
750	3467	1149
751	3473	1145
752	3478	1140
753	3483	1136
754	3489	1132
755	3495	1128
756	3500	1123
757	3505	1119
758	3510	1114
759	3514	1109
760	3518	1105
761	3522	1100
762	3526	1095
763	3530	1090
764	3533	1085
765	3537	1080
766	3540	1075
767	3544	1070
768	3547	1065
769	3551	1060
770	3554	1055
771	3558	1050
772	3561	1045
773	3565	1041
774	3568	1036
775	3572	1031
776	3576	1026
777	3579	1021
778	3583	1016
779	3586	1011
780	3590	1006
781	3593	1001
782	3597	996
783	3600	992
784	3604	987
785	3608	982
786	3611	977
787	3615	972
788	3620	968
789	3624	963
790	3629	958
791	3633	954
792	3637	949
793	3641	944
794	3646	940
795	3650	935
796	3653	930
797	3657	925
798	3661	921
799	3664	916
800	3667	911
801	3671	906
802	3675	901
803	3680	897
804	3684	892
805	3688	887
806	3693	883
807	3697	878
808	3702	874
809	3707	869
810	3712	865
811	3716	860
812	3721	856
813	3726	851
814	3731	847
815	3737	842
816	3742	838
817	3747	833
818	3752	829
819	3757	824
820	3761	820
821	3766	815
822	3770	810
823	3775	806
824	3779	801
825	3784	797
826	3788	792
827	3793	787
828	3797	783
829	3802	778
830	3807	774
831	3812	769
832	3817	765
833	3822	760
834	3827	756
835	3832	751
836	3837	747
837	3842	742
838	3847	738
839	3852	733
840	3856	729
841	3860	724
842	3865	719
843	3871	715
844	3875	710
845	3879	706
846	3884	701
847	3888	697
848	3894	692
849	3898	687
850	3903	683
851	3907	678
852	3911	674
853	3915	669
854	3920	664
855	3924	660
856	3929	655
857	3934	651
858	3938	646
859	3943	641
860	3947	637
861	3952	632
862	3957	628
863	3961	623
864	3966	619
865	3971	614
866	3975	609
867	3980	605
868	3984	600
869	3989	596
870	3993	591
871	3998	586
872	4002	582
873	4007	577
874	4011	573
875	4016	568
876	4021	563
877	4026	559
878	4031	554
879	4036	550
880	4040	545
881	4045	541
882	4050	536
883	4055	532
884	4060	527
885	4064	523
886	4069	518
887	4074	513
888	4080	509
889	4085	504
890	4089	500
891	4095	495
892	4100	491
893	4105	486
894	4110	482
895	4115	477
896	4120	473
897	4125	468
898	4130	464
899	4135	459
900	4140	454
901	4144	450
902	4149	445
903	4154	441
904	4159	436
905	4164	432
906	4168	427
907	4173	422
908	4177	418
909	4182	413
910	4186	409
911	4191	404
912	4195	399
913	4199	395
914	4202	390
915	4205	385
916	4208	380
917	4214	376
918	4218	371
919	4224	367
920	4228	362
921	4233	358
922	4237	353
923	4242	348
924	4246	344
925	4251	339
926	4256	335
927	4261	330
928	4265	326
929	4270	321
930	4274	316
931	4279	312
932	4283	307
933	4288	303
934	4293	298
